topic,term,weight
0,code,0.13436423
0,include,0.034060646
0,usd,0.03182414
0,egypt,0.022137074
0,air,0.025436945
0,discount,0.021964375
0,infant,0.015880905
0,percent,0.015050061
0,penalty,0.015863456
0,validity,0.014667111
1,respect,0.13436432
1,include,0.03406062
1,usd,0.03182416
1,egypt,0.022137064
1,air,0.025436925
1,discount,0.021964377
1,infant,0.015880907
1,percent,0.015050065
1,penalty,0.015863463
1,validity,0.014667108
2,difference,0.1343643
2,include,0.034060635
2,usd,0.03182415
2,egypt,0.022137072
2,air,0.025436943
2,discount,0.02196437
2,infant,0.015880905
2,percent,0.015050062
2,penalty,0.015863458
2,validity,0.01466711
3,pay,0.13436452
3,include,0.034059428
3,usd,0.031824697
3,egypt,0.022136718
3,air,0.025436947
3,discount,0.021962533
3,infant,0.01588116
3,percent,0.015050094
3,penalty,0.015863756
3,validity,0.014667319
4,applicable,0.13436413
4,include,0.034060266
4,usd,0.031824537
4,egypt,0.02213624
4,air,0.025437377
4,discount,0.021961888
4,infant,0.01588142
4,percent,0.015050052
4,penalty,0.015863504
4,validity,0.014667454
5,journey,0.13436444
5,include,0.034059424
5,usd,0.031824682
5,egypt,0.022136705
5,air,0.025436936
5,discount,0.021962542
5,infant,0.015881158
5,percent,0.015050091
5,penalty,0.015863758
5,validity,0.014667321
6,fly,0.13436423
6,include,0.03406027
6,usd,0.03182451
6,egypt,0.022136249
6,air,0.02543738
6,discount,0.021961896
6,infant,0.015881427
6,percent,0.015050054
6,penalty,0.015863504
6,validity,0.014667457
7,rbd,0.13436428
7,include,0.03406065
7,usd,0.031824168
7,egypt,0.022137064
7,air,0.025436938
7,discount,0.021964382
7,infant,0.0158809
7,percent,0.015050055
7,penalty,0.015863454
7,validity,0.014667102
8,pacific,0.15774487
8,emirate,0.06558674
8,reissue,0.05475945
8,refund,0.07734403
8,egypt,0.031421226
8,waiver,0.03686168
8,departure,0.076055236
8,air,0.02707028
8,death,0.039924517
8,turkish,0.024118545
9,cathay,0.15773593
9,emirate,0.065565296
9,reissue,0.05466803
9,refund,0.07735859
9,egypt,0.03142576
9,waiver,0.036888566
9,departure,0.07605909
9,air,0.027075188
9,death,0.039938588
9,turkish,0.024126254
10,turkish,0.096470885
10,bhd,0.08696811
10,pay,0.07165317
10,respect,0.07165317
10,fly,0.07165316
10,code,0.071653135
10,difference,0.07165314
10,journey,0.07165314
10,applicable,0.07165308
10,rbd,0.07165308
11,ticket,0.1282207
11,kuwait,0.12380546
11,airline,0.107772686
11,cancel,0.11015688
11,cancellation,0.105480544
11,partially,0.055295046
11,apply,0.055294964
11,policy,0.055294942
11,kac,0.055294897
11,refund,0.094296955
12,refundable,0.23688747
12,include,0.04116173
12,discount,0.031620067
12,air,0.03025239
12,waiver,0.031207457
12,price,0.016900035
12,equal,0.01509569
12,class,0.015095693
12,provision,0.015095696
12,high,0.015095692
13,class,0.14046231
13,usd,0.034307826
13,discount,0.022723855
13,turkish,0.022750217
13,validity,0.014926568
13,percent,0.014283655
13,infant,0.014755417
13,hour,0.013829781
13,medical,0.015095374
13,air,0.022547785
14,provision,0.14046459
14,usd,0.034309212
14,discount,0.022718875
14,turkish,0.02275119
14,validity,0.014925673
14,percent,0.014282855
14,infant,0.014756421
14,hour,0.013830362
14,medical,0.0150958
14,air,0.022551408
15,high,0.14046456
15,usd,0.034309197
15,discount,0.022718897
15,turkish,0.022751188
15,validity,0.014925676
15,percent,0.01428286
15,infant,0.014756411
15,hour,0.013830366
15,medical,0.015095788
15,air,0.022551402
16,equal,0.14045921
16,usd,0.03430454
16,discount,0.02272838
16,turkish,0.022751145
16,validity,0.014926565
16,percent,0.014283231
16,infant,0.014756362
16,hour,0.013830335
16,medical,0.015095716
16,air,0.02255017
17,tax,0.15359582
17,egypt,0.025163459
17,exclude,0.02335361
17,air,0.027384672
17,emirate,0.043148395
17,infant,0.01570903
17,usd,0.029922077
17,penalty,0.015092835
17,waiver,0.029504748
17,price,0.016633432
18,anytume,0.15357718
18,egypt,0.025163485
18,exclude,0.02334253
18,air,0.027378833
18,emirate,0.043157056
18,infant,0.015708478
18,usd,0.029926224
18,penalty,0.015096254
18,waiver,0.029491242
18,price,0.016634068
19,service,0.15357736
19,egypt,0.025163572
19,exclude,0.023342596
19,air,0.027378969
19,emirate,0.043157145
19,infant,0.015708454
19,usd,0.029926378
19,penalty,0.015096257
19,waiver,0.029491358
19,price,0.016634038
20,provide,0.116052195
20,airline,0.07323036
20,departure,0.111901835
20,charge,0.06663701
20,usd,0.05851841
20,reissue,0.056380436
20,egypt,0.034590784
20,bhd,0.043844845
20,turkish,0.030343866
20,emirate,0.049255967
21,certificate,0.116020486
21,airline,0.07325277
21,departure,0.111939944
21,charge,0.06665507
21,usd,0.058535866
21,reissue,0.05640767
21,egypt,0.034562755
21,bhd,0.043890566
21,turkish,0.030334128
21,emirate,0.04922627
22,policy,0.14692852
22,include,0.029568657
22,charge,0.042897686
